SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Contract_Type,Churn_Label,TenureGroup,ChargeGroup,Revenue,CLV,CLV_Segment,RiskScore,RiskLevel
0,13,49.95,587.45,0,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,Month-to-month,No,12-24,Medium,649.35,649.35,Low Value,3,Medium Risk
0,16,18.95,326.8,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,Two year,No,12-24,Low,303.2,303.2,Low Value,1,Low Risk
0,58,100.35,5681.1,0,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,One year,No,48+,High,5820.299999999999,5820.299999999999,High Value,1,Low Risk
0,49,103.7,5036.3,1,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,Month-to-month,Yes,48+,High,5081.3,5081.3,High Value,3,Medium Risk
0,25,105.5,2686.05,0,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,Month-to-month,No,24-48,High,2637.5,2637.5,Medium Value,3,Medium Risk
0,69,113.25,7895.15,0,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,Two year,No,48+,High,7814.25,7814.25,High Value,1,Low Risk
0,52,20.65,1022.95,0,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,One year,No,48+,Low,1073.8,1073.8,Medium Value,0,Low Risk
0,71,106.7,7382.25,0,True,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,Two year,No,48+,High,7575.7,7575.7,High Value,1,Low Risk
0,10,55.2,528.35,1,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,Month-to-month,Yes,0-12,Medium,552.0,552.0,Low Value,5,High Risk
0,21,90.05,1862.9,0,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,Month-to-month,No,12-24,High,1891.05,1891.05,Medium Value,3,Medium Risk
1,1,39.65,39.65,1,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,Month-to-month,Yes,0-12,Medium,39.65,39.65,Low Value,5,High Risk
0,12,19.8,202.25,0,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,One year,No,0-12,Low,237.60000000000002,237.60000000000002,Low Value,1,Low Risk
0,1,20.15,20.15,1,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,Month-to-month,Yes,0-12,Low,20.15,20.15,Low Value,5,High Risk
0,58,59.9,3505.1,0,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,Two year,No,48+,Medium,3474.2,3474.2,High Value,0,Low Risk
0,49,59.6,2970.3,0,True,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,Month-to-month,No,48+,Medium,2920.4,2920.4,High Value,2,Low Risk
0,30,55.3,1530.6,0,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Month-to-month,No,24-48,Medium,1659.0,1659.0,Medium Value,2,Low Risk
0,47,99.35,4749.15,1,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,Month-to-month,Yes,24-48,High,4669.45,4669.45,High Value,3,Medium Risk
0,1,30.2,30.2,1,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Month-to-month,Yes,0-12,Low,30.2,30.2,Low Value,5,High Risk
0,72,90.25,6369.45,0,True,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,Two year,No,48+,High,6498.0,6498.0,High Value,1,Low Risk
0,17,64.7,1093.1,1,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,Month-to-month,Yes,12-24,Medium,1099.9,1099.9,Medium Value,2,Low Risk
1,71,96.35,6766.95,0,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,False,False,Two year,No,48+,High,6840.849999999999,6840.849999999999,High Value,1,Low Risk
1,2,95.5,181.65,0,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,Month-to-month,No,0-12,High,191.0,191.0,Low Value,6,High Risk
0,27,66.15,1874.45,0,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,One year,No,24-48,Medium,1786.0500000000002,1786.0500000000002,Medium Value,0,Low Risk
0,1,20.2,20.2,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,Month-to-month,No,0-12,Low,20.2,20.2,Low Value,5,High Risk
1,1,45.25,45.25,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Month-to-month,No,0-12,Medium,45.25,45.25,Low Value,5,High Risk
0,72,99.9,7251.7,0,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,Two year,No,48+,High,7192.8,7192.8,High Value,1,Low Risk
0,5,69.7,316.9,1,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,Month-to-month,Yes,0-12,Medium,348.5,348.5,Low Value,5,High Risk
0,46,74.8,3548.3,0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,Month-to-month,No,24-48,High,3440.7999999999997,3440.7999999999997,High Value,3,Medium Risk
0,34,106.35,3549.25,1,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,Month-to-month,Yes,24-48,High,3615.8999999999996,3615.8999999999996,High Value,3,Medium Risk
0,11,97.85,1105.4,1,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,Month-to-month,Yes,0-12,High,1076.35,1076.35,Medium Value,5,High Risk
0,10,49.55,475.7,0,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,One year,No,0-12,Medium,495.5,495.5,Low Value,3,Medium Risk
0,70,69.2,4872.35,0,False,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,False,Two year,No,48+,Medium,4844.0,4844.0,High Value,0,Low Risk
0,17,20.75,418.25,0,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,One year,No,12-24,Low,352.75,352.75,Low Value,1,Low Risk
0,63,79.85,4861.45,0,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,True,False,False,Two year,No,48+,High,5030.549999999999,5030.549999999999,High Value,1,Low Risk
0,13,76.2,981.45,0,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,Month-to-month,No,12-24,High,990.6,990.6,Medium Value,3,Medium Risk
0,49,84.5,3906.7,0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,Month-to-month,No,48+,High,4140.5,4140.5,High Value,3,Medium Risk
0,2,49.25,97.0,0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Month-to-month,No,0-12,Medium,98.5,98.5,Low Value,5,High Risk
0,2,80.65,144.15,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,Month-to-month,Yes,0-12,High,161.3,161.3,Low Value,6,High Risk
0,52,79.75,4217.8,0,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False,Two year,No,48+,High,4147.0,4147.0,High Value,1,Low Risk
0,69,64.15,4254.1,0,False,True,True,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,Two year,No,48+,Medium,4426.35,4426.35,High Value,0,Low Risk
1,43,90.25,3838.75,0,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,Month-to-month,No,24-48,High,3880.75,3880.75,High Value,3,Medium Risk
0,15,99.1,1426.4,1,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,Month-to-month,Yes,12-24,High,1486.5,1486.5,Medium Value,3,Medium Risk
1,25,69.5,1752.65,0,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,Month-to-month,No,24-48,Medium,1737.5,1737.5,Medium Value,2,Low Risk
1,8,80.65,633.3,1,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,Month-to-month,Yes,0-12,High,645.2,645.2,Low Value,6,High Risk
1,60,74.85,4456.35,0,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,True,False,False,One year,No,48+,High,4491.0,4491.0,High Value,1,Low Risk
1,18,95.45,1752.55,1,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,Month-to-month,Yes,12-24,High,1718.1000000000001,1718.1000000000001,Medium Value,3,Medium Risk
0,63,99.65,6311.2,0,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,One year,No,48+,High,6277.950000000001,6277.950000000001,High Value,1,Low Risk
1,66,108.45,7076.35,0,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,One year,No,48+,High,7157.7,7157.7,High Value,1,Low Risk
0,34,24.95,894.3,0,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,Two year,No,24-48,Low,848.3,848.3,Medium Value,0,Low Risk
0,72,107.5,7853.7,0,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,False,Two year,No,48+,High,7740.0,7740.0,High Value,1,Low Risk
0,47,100.5,4707.1,0,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,Month-to-month,No,24-48,High,4723.5,4723.5,High Value,3,Medium Risk
0,60,89.9,5450.7,0,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,Month-to-month,No,48+,High,5394.0,5394.0,High Value,3,Medium Risk
0,72,42.1,2962.0,0,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,Two year,No,48+,Medium,3031.2000000000003,3031.2000000000003,High Value,0,Low Risk
0,18,54.4,957.1,0,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False,One year,No,12-24,Medium,979.1999999999999,979.1999999999999,Medium Value,0,Low Risk
0,9,94.4,857.25,1,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,Month-to-month,Yes,0-12,High,849.6,849.6,Medium Value,5,High Risk
0,3,75.3,244.1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False,Month-to-month,No,0-12,High,225.89999999999998,225.89999999999998,Low Value,6,High Risk
0,47,78.9,3650.35,0,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,One year,No,24-48,High,3708.3,3708.3,High Value,1,Low Risk
0,31,79.2,2497.2,0,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,Two year,No,24-48,High,2455.2000000000003,2455.2000000000003,Medium Value,1,Low Risk
0,50,20.15,930.9,0,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,Two year,No,48+,Low,1007.4999999999999,1007.4999999999999,Medium Value,0,Low Risk
0,10,79.85,887.35,0,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,Month-to-month,No,0-12,High,798.5,798.5,Medium Value,5,High Risk
0,1,49.05,49.05,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,Month-to-month,No,0-12,Medium,49.05,49.05,Low Value,5,High Risk
0,52,20.4,1090.65,0,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,One year,No,48+,Low,1060.8,1060.8,Medium Value,0,Low Risk
1,64,111.6,7099.0,0,True,True,True,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,Two year,No,48+,High,7142.4,7142.4,High Value,1,Low Risk
0,62,24.25,1424.6,0,True,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,Two year,No,48+,Low,1503.5,1503.5,Medium Value,0,Low Risk
0,3,64.5,177.4,0,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,Month-to-month,No,0-12,Medium,193.5,193.5,Low Value,5,High Risk
1,56,110.5,6139.5,0,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False,True,False,One year,No,48+,High,6188.0,6188.0,High Value,1,Low Risk
0,46,55.65,2688.85,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,One year,No,24-48,Medium,2559.9,2559.9,Medium Value,0,Low Risk
0,8,54.65,482.25,0,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Month-to-month,No,0-12,Medium,437.2,437.2,Low Value,5,High Risk
1,30,74.75,2111.3,0,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,Month-to-month,No,24-48,High,2242.5,2242.5,Medium Value,3,Medium Risk
0,45,25.9,1216.6,0,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,One year,No,24-48,Low,1165.5,1165.5,Medium Value,0,Low Risk
0,1,79.35,79.35,1,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,Month-to-month,Yes,0-12,High,79.35,79.35,Low Value,6,High Risk
0,11,50.55,565.35,0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,Month-to-month,No,0-12,Medium,556.05,556.05,Low Value,5,High Risk
0,7,75.15,496.9,1,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,Month-to-month,Yes,0-12,High,526.0500000000001,526.0500000000001,Low Value,6,High Risk
0,42,103.8,4327.5,0,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,Month-to-month,No,24-48,High,4359.599999999999,4359.599999999999,High Value,3,Medium Risk
0,49,20.15,973.35,0,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,Two year,No,48+,Low,987.3499999999999,987.3499999999999,Medium Value,0,Low Risk
0,9,99.3,918.75,0,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,Month-to-month,No,0-12,High,893.6999999999999,893.6999999999999,Medium Value,5,High Risk
0,35,62.15,2215.45,0,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,One year,No,24-48,Medium,2175.25,2175.25,Medium Value,0,Low Risk
0,48,20.65,1057.0,0,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,Two year,No,24-48,Low,991.1999999999999,991.1999999999999,Medium Value,0,Low Risk
0,46,19.95,927.1,0,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,Two year,No,24-48,Low,917.6999999999999,917.6999999999999,Medium Value,0,Low Risk
0,29,33.75,1009.25,0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,Month-to-month,No,24-48,Low,978.75,978.75,Medium Value,2,Low Risk
0,30,82.05,2570.2,0,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Month-to-month,No,24-48,High,2461.5,2461.5,Medium Value,3,Medium Risk
1,1,74.7,74.7,0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,Month-to-month,No,0-12,High,74.7,74.7,Low Value,6,High Risk
0,66,84.0,5714.25,0,True,True,True,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,Two year,No,48+,High,5544.0,5544.0,High Value,1,Low Risk
0,65,111.05,7107.0,0,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,Month-to-month,No,48+,High,7218.25,7218.25,High Value,3,Medium Risk
0,72,100.9,7459.05,0,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,False,Two year,No,48+,High,7264.8,7264.8,High Value,1,Low Risk
0,12,78.95,927.35,1,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,Month-to-month,Yes,0-12,High,947.4000000000001,947.4000000000001,Medium Value,3,Medium Risk
0,71,66.85,4748.7,0,True,True,True,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False,One year,No,48+,Medium,4746.349999999999,4746.349999999999,High Value,0,Low Risk
0,5,21.05,113.85,1,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,Month-to-month,Yes,0-12,Low,105.25,105.25,Low Value,5,High Risk
0,52,21.0,1107.2,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,Two year,No,48+,Low,1092.0,1092.0,Medium Value,0,Low Risk
1,25,98.5,2514.5,1,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,Month-to-month,Yes,24-48,High,2462.5,2462.5,Medium Value,3,Medium Risk
0,1,20.2,20.2,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,Month-to-month,No,0-12,Low,20.2,20.2,Low Value,5,High Risk
0,1,19.45,19.45,0,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,Month-to-month,No,0-12,Low,19.45,19.45,Low Value,5,High Risk
0,38,95.0,3605.6,0,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,One year,No,24-48,High,3610.0,3610.0,High Value,1,Low Risk
1,66,45.55,3027.25,0,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,One year,No,48+,Medium,3006.2999999999997,3006.2999999999997,High Value,0,Low Risk
0,68,110.0,7611.85,1,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,Two year,Yes,48+,High,7480.0,7480.0,High Value,1,Low Risk
0,5,24.3,100.2,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Month-to-month,No,0-12,Low,121.5,121.5,Low Value,5,High Risk
0,72,104.15,7303.05,0,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,True,False,True,False,One year,No,48+,High,7498.8,7498.8,High Value,1,Low Risk
0,32,30.15,927.65,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,One year,No,24-48,Low,964.8,964.8,Medium Value,0,Low Risk
0,43,94.35,3921.3,0,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,One year,No,24-48,High,4057.0499999999997,4057.0499999999997,High Value,1,Low Risk
0,72,19.4,1363.25,0,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,Two year,No,48+,Low,1396.8,1396.8,Medium Value,0,Low Risk
0,55,96.75,5238.9,1,True,True,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,Month-to-month,Yes,48+,High,5321.25,5321.25,High Value,3,Medium Risk
0,52,57.95,3042.25,0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,One year,No,48+,Medium,3013.4,3013.4,High Value,0,Low Risk
0,43,91.65,3954.1,0,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,Month-to-month,No,24-48,High,3940.9500000000003,3940.9500000000003,High Value,3,Medium Risk
1,37,76.5,2868.15,1,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,Month-to-month,Yes,24-48,High,2830.5,2830.5,High Value,3,Medium Risk
0,64,54.6,3423.5,0,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,True,False,Two year,No,48+,Medium,3494.4,3494.4,High Value,0,Low Risk
0,3,89.85,248.4,0,True,True,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,Month-to-month,No,0-12,High,269.54999999999995,269.54999999999995,Low Value,6,High Risk
0,36,31.05,1126.35,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Two year,No,24-48,Low,1117.8,1117.8,Medium Value,0,Low Risk
0,10,100.25,1064.65,1,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,Month-to-month,Yes,0-12,High,1002.5,1002.5,Medium Value,5,High Risk
0,41,20.65,835.15,0,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,Two year,No,24-48,Low,846.65,846.65,Medium Value,0,Low Risk
0,27,85.2,2151.6,0,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,Month-to-month,No,24-48,High,2300.4,2300.4,Medium Value,3,Medium Risk
0,56,99.8,5515.45,0,False,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,True,False,False,One year,No,48+,High,5588.8,5588.8,High Value,1,Low Risk
0,6,20.7,112.75,0,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,Month-to-month,No,0-12,Low,124.19999999999999,124.19999999999999,Low Value,5,High Risk
0,3,74.4,229.55,1,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,Month-to-month,Yes,0-12,High,223.20000000000002,223.20000000000002,Low Value,6,High Risk
0,7,50.7,350.35,0,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Month-to-month,No,0-12,Medium,354.90000000000003,354.90000000000003,Low Value,5,High Risk
0,4,20.85,62.9,0,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,Month-to-month,No,0-12,Low,83.4,83.4,Low Value,5,High Risk
0,33,88.95,3027.65,0,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,True,False,Two year,No,24-48,High,2935.35,2935.35,High Value,1,Low Risk
